,w1,w2,w3,w4,w5,tll5,nu5,tll4,nu4,tll3,nu3,tll2,nu2,mean_tll5,mean_tll_per_unique5,mean_tll4,mean_tll_per_unique4,mean_tll3,mean_tll_per_unique3,mean_tll2,mean_tll_per_unique2
26,sorer,gaily,bundt,whack,frump,-64.93578882606475,21,-50.10007746059041,18,-36.26853932201313,14,-22.650350337157775,9,-12.98715776521295,-3.0921804202887975,-12.525019365147603,-2.7833376366994673,-12.08951310733771,-2.590609951572367,-11.325175168578888,-2.5167055930175306
27,shale,crony,putid,begem,wauff,-67.12518824940582,20,-50.53183558507186,18,-36.19402641867978,15,-22.21868139981946,10,-13.425037649881165,-3.3562594124702914,-12.632958896267965,-2.807324199170659,-12.064675472893262,-2.412935094578652,-11.10934069990973,-2.2218681399819458
28,sonne,clary,whipt,fumed,biggs,-66.74075744637369,20,-50.65142493170236,18,-36.73813862272486,14,-22.466272889530185,9,-13.348151489274738,-3.3370378723186844,-12.66285623292559,-2.813968051761242,-12.246046207574954,-2.6241527587660616,-11.233136444765092,-2.4962525432811318
29,brane,soily,dutch,kamik,pluff,-68.21664524061498,19,-51.7432763284914,17,-35.70452274588038,15,-21.608884616725224,10,-13.643329048122997,-3.5903497495060517,-12.93581908212285,-3.043722136970082,-11.901507581960127,-2.3803015163920254,-10.804442308362612,-2.1608884616725224
30,souce,briny,dwalm,pight,jeffs,-72.99726624635369,21,-53.2515586839378,19,-37.91592226281894,15,-22.290308890756577,10,-14.599453249270738,-3.4760602974454136,-13.31288967098445,-2.802713614944095,-12.638640754272979,-2.5277281508545957,-11.145154445378289,-2.229030889075658
31,crine,slaty,bough,faded,kempt,-65.32023993331231,20,-48.718293266562554,17,-35.49780907257912,15,-21.953264775180763,10,-13.064047986662462,-3.2660119966656156,-12.179573316640639,-2.8657819568566207,-11.832603024193041,-2.366520604838608,-10.976632387590382,-2.1953264775180763
32,saute,crony,whilk,boded,flamm,-64.00550192232652,19,-49.22333211621857,17,-36.156400122183385,15,-22.24532313844711,10,-12.801100384465304,-3.368710627490869,-12.305833029054643,-2.8954901244834454,-12.052133374061128,-2.410426674812226,-11.122661569223554,-2.224532313844711
33,shine,coaly,trump,faded,bewig,-66.03572692403384,20,-50.05442952049518,17,-36.833945326511746,15,-22.08888832930554,10,-13.207145384806768,-3.301786346201692,-12.513607380123794,-2.9443782070879516,-12.277981775503916,-2.455596355100783,-11.04444416465277,-2.208888832930554
34,suite,coaly,brond,whump,gaffs,-68.34679008779777,20,-50.53740061203169,18,-34.598271881482255,14,-22.102357185103646,10,-13.669358017559555,-3.4173395043898886,-12.634350153007922,-2.807633367335094,-11.532757293827418,-2.4713051343915895,-11.051178592551823,-2.2102357185103645
35,cease,briny,poult,shmek,gadid,-62.01241100203988,19,-47.92924917277008,17,-34.704043866867984,14,-22.30892552387731,9,-12.402482200407977,-3.2638111053705203,-11.98231229319252,-2.81936759839824,-11.568014622289327,-2.478860276204856,-11.154462761938655,-2.4787695026530345
