0,freq,rel_freq
heads,39129988,0.012460880323244647
dream,38843330,0.012369594554598342
entry,38732873,0.01233441970461207
birds,38724537,0.012331765119121919
frame,38645040,0.012306449430217109
grown,38488707,0.012256665443481057
sugar,38411948,0.01223222166617318
unity,38143462,0.012146722741040193
firms,38125994,0.012141160085169038
owner,38006556,0.012103125250503418
truly,37990392,0.012097977851287632
loved,37832573,0.01204772065029554
taxes,37820510,0.01204387920778502
yield,37765055,0.0120262196542394
irish,37668890,0.011995596068147709
chair,37536211,0.011953344658808974
tools,37529774,0.011951294806745623
hotel,37503472,0.011942918978103356
thick,37256214,0.011864180074657619
fluid,37084285,0.011809429567371618
refer,36885043,0.011745981280156095
fifth,36788809,0.011715335721127887
fruit,36756104,0.011704920867666349
raise,36593271,0.01165306696662056
quiet,36586756,0.011650992275585493
twice,36389658,0.011588226741643828
taste,36279735,0.01155322194307931
worse,36048597,0.011479616427121725
drugs,35996062,0.011462886742773709
chain,35984375,0.0114591650368448
plays,35487791,0.011301028678754474
clean,35450708,0.011289219658393239
towns,35442693,0.011286667294825154
spite,35152429,0.011194233201409479
sharp,35123187,0.011184921134602498
bible,34828174,0.011090974729947292
shift,34815041,0.011086792547696555
waste,34589875,0.011015088805317087
ahead,34510196,0.010989715158811602
prime,34421805,0.010961567190234358
grade,34186172,0.0108865302489195
frank,34023929,0.010834864232403365
aside,33829618,0.010772986214028047
sweet,33768721,0.010753593664532641
wages,33733931,0.01074251484625021
drink,33706355,0.010733733314403235
minds,33691108,0.010728877932329298
begun,33448079,0.010651485746978315
texas,33372633,0.010627460092361003
extra,33362107,0.010624108104972649
noise,33341287,0.01061747801021438
guard,33171927,0.010563545596753257
favor,33056700,0.010526851748111993
quick,33025464,0.010516904695284456
nerve,32996075,0.010507545816569241
rooms,32937144,0.010488779336540442
skill,32903336,0.01047801323454296
ocean,32902932,0.010477884581407401
tells,32899571,0.010476814276485088
ended,32883432,0.010471674838478186
logic,32859550,0.010464069654855851
enjoy,32845122,0.010459475081984942
teeth,32750428,0.010429319933423964
finds,32668786,0.01040332117279694
empty,32665681,0.010402332390653595
route,32665445,0.010402257236841734
thank,32642462,0.010394938338290855
lying,32572530,0.010372668607904912
acute,32380814,0.010311616963011713
smile,32358171,0.010304406336901651
armed,32356907,0.010304003818180495
rocks,32246632,0.010268886925794895
dance,31951446,0.010174885429574215
jones,31948987,0.010174102365068423
falls,31738357,0.01010702758798224
broke,31638358,0.010075183070896158
sheet,31531345,0.010041104957045693
egypt,31417662,0.010004902792665079
noble,31356734,0.009985500371270658
dress,31215942,0.009940665390425015
teach,31184397,0.009930619937055676
spend,31141732,0.009917033337974909
phone,31061391,0.009891448878658188
print,30965760,0.00986099534398825
scope,30959084,0.009858869382767973
slave,30911620,0.009843754550029907
stars,30710319,0.009779650577650732
tasks,30566751,0.009733931584170652
grain,30342566,0.009662540239627777
honor,30299052,0.009648683277893321
arise,30283204,0.009643636508357823
hills,30185486,0.009612518371970283
exact,30097041,0.009584353207181852
holds,30017703,0.00955908815156554
owned,30008173,0.009556053338739108
reply,29929435,0.009530979352136005
bread,29875488,0.009513800018710243
waves,29873462,0.009513154842342315
alive,29844303,0.009503869206748828
theme,29775562,0.009481978748354101
cited,29742713,0.009471518038329395
turns,29719923,0.009464260600311096
glory,29640696,0.009439030892462228
saint,29511488,0.009397884817364893
vital,29437126,0.009374204360764776
roots,29383889,0.009357251125671309
poems,29345654,0.009345075252804718
grass,29107972,0.009269385810809758
