,w1,w2,w3,w4,w5,tglp5,nu5,tglp4,nu4,tglp3,nu3,tglp2,nu2,mean_tglp2,mean_tglp_per_unique2,mean_tglp3,mean_tglp_per_unique3,mean_tglp4,mean_tglp_per_unique4,mean_tglp5,mean_tglp_per_unique5
35,saint,corey,flump,hewgh,kibbe,1.9861771058315336,20,1.6721382289416846,18,1.433693304535637,15,1.1632829373650109,10,0.5816414686825054,0.11632829373650108,0.4778977681785457,0.09557955363570914,0.41803455723542116,0.09289656827453803,0.3972354211663067,0.09930885529157668
36,salle,crony,whipt,fumed,bobak,2.1697624190064793,20,1.830669546436285,18,1.476889848812095,14,1.1330453563714902,9,0.5665226781857451,0.12589392848572112,0.4922966162706983,0.10549213205800678,0.45766738660907125,0.10170386369090473,0.43395248380129586,0.10848812095032397
37,slade,crony,whipt,begum,koffs,1.908855291576674,21,1.7382289416846655,19,1.4764578833693305,15,1.1326133909287257,10,0.5663066954643629,0.11326133909287257,0.4921526277897768,0.09843052555795537,0.43455723542116637,0.09148573377287712,0.3817710583153348,0.09089787102746068
38,soapy,crine,thumb,fjeld,gawks,1.8881209503239742,22,1.65658747300216,19,1.3995680345572354,15,1.1676025917926567,10,0.5838012958963283,0.11676025917926566,0.46652267818574517,0.09330453563714904,0.41414686825054,0.08718881436853473,0.37762419006479486,0.08582367956018065
39,slier,coady,thunk,gamme,bebop,2.1447084233261338,19,1.859611231101512,17,1.4397408207343414,15,1.1144708423326135,10,0.5572354211663068,0.11144708423326136,0.47991360691144713,0.09598272138228943,0.464902807775378,0.10938889594714776,0.42894168466522675,0.11287939070137547
40,sonce,fairy,bumph,dwelt,giver,2.0881209503239746,21,1.701079913606912,19,1.3784017278617713,15,1.1153347732181427,10,0.5576673866090713,0.11153347732181426,0.4594672426205904,0.09189344852411808,0.425269978401728,0.08953052176878484,0.4176241900647949,0.09943433096780832
41,shone,clary,putid,begem,frizz,2.0872570194384443,20,1.7879049676025915,18,1.4241900647948162,15,1.1153347732181425,10,0.5576673866090712,0.11153347732181425,0.4747300215982721,0.09494600431965441,0.4469762419006479,0.09932805375569953,0.41745140388768887,0.10436285097192222
42,saist,corey,blunk,whomp,fidge,2.170194384449244,21,1.7758099352051835,18,1.5187904967602592,14,1.1585313174946004,9,0.5792656587473002,0.12872570194384447,0.5062634989200864,0.10848503548287566,0.44395248380129587,0.09865610751139908,0.43403887688984877,0.10334258973567828
43,slily,crane,fouth,paged,bemix,2.240172786177106,20,1.9628509719222464,17,1.552915766738661,14,1.1822894168466525,9,0.5911447084233262,0.13136549076073917,0.517638588912887,0.11092255476704722,0.4907127429805616,0.1154618218777792,0.4480345572354212,0.1120086393088553
44,seaze,crony,built,whump,faded,2.2120950323974085,20,1.8012958963282937,18,1.578401727861771,14,1.129157667386609,9,0.5645788336933045,0.12546196304295656,0.526133909287257,0.11274298056155507,0.4503239740820734,0.10007199424046076,0.4424190064794817,0.11060475161987042
45,boree,slaty,chink,frump,gadid,2.2025917926565874,20,1.8699784017278616,18,1.5710583153347732,14,1.1809935205183586,9,0.5904967602591793,0.13122150227981763,0.5236861051115911,0.11221845109534094,0.4674946004319654,0.1038876889848812,0.4405183585313175,0.11012958963282937
46,stane,pricy,bough,fjeld,kamik,2.0000000000000004,21,1.7166306695464366,19,1.4596112311015121,15,1.1002159827213824,10,0.5501079913606912,0.11002159827213824,0.48653707703383736,0.09730741540676748,0.42915766738660915,0.09034898260770718,0.4000000000000001,0.09523809523809526
47,slake,crony,whipt,fumed,biggs,2.0634989200863934,21,1.8241900647948164,19,1.4704103671706263,15,1.1265658747300216,10,0.5632829373650108,0.11265658747300215,0.49013678905687547,0.09802735781137509,0.4560475161987041,0.0960100034102535,0.4126997840172787,0.0982618533374473
48,salet,crony,guimp,vozhd,blaff,1.952483801295896,21,1.6319654427645787,19,1.4250539956803454,15,1.1265658747300216,10,0.5632829373650108,0.11265658747300215,0.4750179985601151,0.09500359971202303,0.40799136069114467,0.08589291804024098,0.39049676025917923,0.09297541910932838
49,brane,soily,dutch,kamik,pluff,2.0362850971922244,19,1.7904967602591793,17,1.5071274298056156,15,1.2051835853131752,10,0.6025917926565876,0.12051835853131751,0.5023758099352053,0.10047516198704104,0.4476241900647948,0.10532333883877525,0.4072570194384449,0.10717289985222234
50,shire,coaly,bundt,frump,gawks,2.034557235421166,21,1.803023758099352,18,1.5041036717062637,15,1.1498920086393087,10,0.5749460043196544,0.11498920086393087,0.5013678905687545,0.10027357811375091,0.450755939524838,0.10016798656107512,0.4069114470842332,0.09688367787719838
51,saury,boite,clank,whomp,gived,2.1727861771058317,21,1.8263498920086392,18,1.569330453563715,14,1.1369330453563715,10,0.5684665226781858,0.11369330453563715,0.5231101511879049,0.11209503239740821,0.4565874730021598,0.10146388288936885,0.4345572354211663,0.10346600843361103
52,saucy,brine,plotz,hewgh,domed,2.0872570194384448,20,1.7041036717062634,18,1.4656587473002158,15,1.1503239740820734,10,0.5751619870410367,0.11503239740820734,0.4885529157667386,0.09771058315334773,0.42602591792656586,0.09467242620590352,0.417451403887689,0.10436285097192224
53,crare,soily,bundt,whomp,gaffs,2.0367170626349895,20,1.8142548596112313,18,1.557235421166307,14,1.2030237580993521,9,0.6015118790496761,0.13366930645548358,0.5190784737221024,0.11123110151187908,0.45356371490280784,0.10079193664506841,0.4073434125269979,0.10183585313174948
54,coate,shiny,frump,dwell,vibex,2.003887688984881,21,1.7326133909287253,18,1.4518358531317492,15,1.152915766738661,10,0.5764578833693305,0.1152915766738661,0.48394528437724976,0.09678905687544995,0.43315334773218134,0.0962562994960403,0.40077753779697617,0.09542322328499434
55,seamy,point,brugh,flock,waded,2.1740820734341257,21,1.7861771058315334,19,1.4207343412527,15,1.0665226781857453,10,0.5332613390928727,0.10665226781857454,0.47357811375090003,0.09471562275018,0.44654427645788336,0.09400932135955439,0.43481641468682514,0.10352771778257741
56,slave,crony,whipt,fumed,bobak,2.1593952483801293,21,1.820302375809935,19,1.466522678185745,15,1.1226781857451402,10,0.5613390928725701,0.11226781857451403,0.48884089272858167,0.09776817854571633,0.45507559395248376,0.0958053882005229,0.43187904967602586,0.10282834516095854
57,shaly,crine,doubt,kamik,wigga,2.012958963282938,19,1.800431965442765,17,1.5170626349892011,15,1.1576673866090714,10,0.5788336933045357,0.11576673866090714,0.5056875449964003,0.10113750899928008,0.45010799136069124,0.10590776267310383,0.4025917926565876,0.10594520859383885
58,cease,briny,poult,shmek,gadid,2.318358531317495,19,1.9857451403887687,17,1.5529157667386608,14,1.1205183585313174,9,0.5602591792656587,0.12450203983681304,0.5176385889128869,0.1109225547670472,0.4964362850971922,0.11680853766992758,0.46367170626349896,0.12201887006934183
59,spane,doily,cruft,hewgh,kamik,2.0077753779697627,20,1.7244060475161989,18,1.4859611231101513,15,1.0894168466522678,10,0.5447084233261339,0.10894168466522677,0.49532037437005044,0.09906407487401009,0.4311015118790497,0.09580033597312215,0.40155507559395254,0.10038876889848813
60,shite,coaly,grund,bebop,kamik,2.0786177105831536,19,1.7952483801295898,17,1.5101511879049676,15,1.1442764578833693,10,0.5721382289416846,0.11442764578833693,0.5033837293016559,0.10067674586033118,0.44881209503239744,0.10560284588997587,0.4157235421166307,0.10940093213595545
61,saner,doily,butch,gimme,pluff,2.0393088552915764,19,1.7935205183585312,17,1.4177105831533476,15,1.088984881209503,10,0.5444924406047515,0.10889848812095031,0.4725701943844492,0.09451403887688985,0.4483801295896328,0.10550120696226654,0.4078617710583153,0.10733204501534613
