w,in_wordle,in_wordle_curated,freq
creed,True,True,8098183.0
anime,True,True,177381.0
leafy,True,True,1645825.0
bosom,True,True,6554474.0
dunce,True,True,265746.0
stare,True,True,5395808.0
pudgy,True,True,257434.0
waive,True,True,1273045.0
choir,True,True,6013515.0
stood,True,True,78683031.0
spoke,True,True,48762095.0
outgo,True,True,145955.0
delay,True,True,27693078.0
bilge,True,True,366239.0
ideal,True,True,45221422.0
clasp,True,True,1497672.0
seize,True,True,7685920.0
hotly,True,True,1347076.0
laugh,True,True,18161896.0
sieve,True,True,2229412.0
block,True,True,43360201.0
meant,True,True,62748044.0
grape,True,True,3727408.0
noose,True,True,830225.0
hardy,True,True,8952833.0
shied,True,True,397563.0
drawl,True,True,398909.0
daisy,True,True,2940945.0
putty,True,True,687353.0
strut,True,True,992631.0
burnt,True,True,9446462.0
tulip,True,True,907860.0
crick,True,True,733984.0
idyll,True,True,550637.0
vixen,True,True,285908.0
furor,True,True,536526.0
geeky,True,True,
cough,True,True,5632779.0
naive,True,True,5685530.0
shoal,True,True,901281.0
stork,True,True,714292.0
bathe,True,True,1892806.0
aunty,True,True,337193.0
check,True,True,53673380.0
prime,True,True,34421805.0
brass,True,True,11292766.0
outer,True,True,28950468.0
furry,True,True,643848.0
razor,True,True,2396734.0
elect,True,True,8500335.0
evict,True,True,313733.0
imply,True,True,13501063.0
demur,True,True,413692.0
quota,True,True,4548902.0
haven,True,True,11432271.0
cavil,True,True,326777.0
swear,True,True,6106664.0
crump,True,True,407835.0
dough,True,True,3747874.0
gavel,True,True,335852.0
wagon,True,True,9140909.0
salon,True,True,3189232.0
nudge,True,True,502834.0
harem,True,True,1236607.0
pitch,True,True,15236647.0
sworn,True,True,5390700.0
pupil,True,True,16307417.0
excel,True,True,5041942.0
stony,True,True,3098866.0
cabin,True,True,11761477.0
unzip,True,True,
queen,True,True,55387905.0
trout,True,True,6269893.0
polyp,True,True,595304.0
earth,True,True,121334649.0
storm,True,True,23470314.0
until,True,True,266946065.0
taper,True,True,1829963.0
enter,True,True,61810749.0
child,True,True,214513506.0
adopt,True,True,19151294.0
minor,True,True,41027981.0
fatty,True,True,8865081.0
husky,True,True,1119935.0
brave,True,True,14446674.0
filet,True,True,266937.0
slime,True,True,1303941.0
glint,True,True,749962.0
tread,True,True,3469365.0
steal,True,True,6294514.0
regal,True,True,1910644.0
guest,True,True,13818768.0
every,True,True,393306866.0
murky,True,True,1053933.0
share,True,True,80467423.0
spore,True,True,1708865.0
hoist,True,True,1355784.0
buxom,True,True,285155.0
inner,True,True,44668216.0
otter,True,True,1716514.0
dimly,True,True,2542994.0
level,True,True,217515046.0
sumac,True,True,260200.0
donut,True,True,222503.0
stilt,True,True,207939.0
arena,True,True,7678179.0
sheet,True,True,31531345.0
scrub,True,True,2653965.0
fancy,True,True,16367760.0
slimy,True,True,909071.0
pearl,True,True,8914158.0
silly,True,True,7383577.0
porch,True,True,7460033.0
dingo,True,True,192667.0
sepia,True,True,548642.0
amble,True,True,178793.0
shady,True,True,2285063.0
bread,True,True,29875488.0
friar,True,True,2430774.0
reign,True,True,24359982.0
dairy,True,True,7954162.0
quill,True,True,1252072.0
cross,True,True,92631653.0
brood,True,True,2779461.0
tuber,True,True,855902.0
shear,True,True,10224673.0
posit,True,True,1042830.0
blank,True,True,14029903.0
villa,True,True,7403525.0
shank,True,True,1093289.0
piggy,True,True,352031.0
freak,True,True,1328817.0
which,True,True,3140226612.0
among,True,True,321351351.0
fecal,True,True,1464523.0
shell,True,True,24350351.0
would,True,True,1472811049.0
algae,True,True,3999264.0
large,True,True,342399659.0
rabbi,True,True,6841500.0
agony,True,True,6071712.0
amuse,True,True,2478592.0
bushy,True,True,1266451.0
copse,True,True,447369.0
swoon,True,True,486927.0
knife,True,True,15597633.0
pouch,True,True,2507494.0
ascot,True,True,288910.0
plane,True,True,43932667.0
crown,True,True,41604115.0
urban,True,True,55345225.0
snide,True,True,178700.0
relay,True,True,4604359.0
abide,True,True,4229539.0
viola,True,True,2004515.0
rajah,True,True,1406391.0
straw,True,True,9423578.0
dilly,True,True,219588.0
crash,True,True,6995312.0
amass,True,True,473568.0
third,True,True,164752523.0
trick,True,True,8222139.0
tutor,True,True,4694948.0
